n(SMILES),PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),Eg_n(eV),M (g/mol),HOMO_n(eV),'-LUMO_n(eV)
O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC(C3=CC(C4=C(C5=CC=C(C6=O)C7C5=C8C=CC7C(N6C(CCCCC)CCCCC)=O)C(C8=CC=C9C(N(C(CCCCC)CCCCC)C%10=O)=O)=C9C%10=C4)=CC(C(C=C%11C(N(C(CCCCC)CCCCC)C%12=O)=O)=C%13C%14=C%11C%12=CC=C%14C%15=CC=C(C%16=O)C%17C%15=C%13C=CC%17C(N%16C(CCCCC)CCCCC)=O)=C3)=C(C%18=C%19C=CC1C%182)C%20=CC=C%21C%22=C%20C%19=CC=C%22C(N(C(CCCCC)CCCCC)C%21=O)=O,6.7,6.5,12.4,0.622,0.87,1.97,2174.96,5.81,3.84
O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC(C3=CC(C4=CC5C6C7=C4C8=CC=C(C(N9C(CCCCC)CCCCC)=O)C%10=C8C(C7=CC=C6C(N(C(CCCCC)CCCCC)C5=O)=O)=CC=C%10C9=O)=CC(C%11=CC(C%12=CC%13C%14C%15=C%12C%16=CC=C(C(N%17C(CCCCC)CCCCC)=O)C%18=C%16C(C%15=CC=C%14C(N(C(CCCCC)CCCCC)C%13=O)=O)=CC=C%18C%17=O)=CC(C(C=C%19C(N(C(CCCCC)CCCCC)C%20=O)=O)=C%21C%22=C%19C%20=CC=C%22C%23=CC=C(C%24=O)C%25C%23=C%21C=CC%25C(N%24C(CCCCC)CCCCC)=O)=C%11)=C3)=C(C%26=C%27C=CC1C%262)C%28=CC=C%29C%30=C%28C%27=CC=C%30C(N(C(CCCCC)CCCCC)C%29=O)=O,2.95,2.95,10.61,0.352,0.79,1.98,2950.0,5.69,3.71
O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC(C3=CC4=C5C6=C3C7=CC=C(C(N8C(CCCCC)CCCCC)=O)C9=C7C(C6=C(C%10=CC%11=C%12C(C%13=C%14C=C%12C(N(C(CCCCC)CCCCC)C%11=O)=O)=C%10C%15=CC=C(C(N%16C(CCCCC)CCCCC)=O)C%17=C%15C%13=C(S%14)C=C%17C%16=O)C=C5C(N(C(CCCCC)CCCCC)C4=O)=O)=CC=C9C8=O)=C%18C(C2=C1C=C%19S%20)=C%19C%21=C%20C=C(C(N%22C(CCCCC)CCCCC)=O)C%23=C%21C%18=CC=C%23C%22=O,7.86,7.52,16.71,0.636,0.74,2.04,2152.9,5.88,3.84
O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC(C3=CC4=C5C6=C3C7=CC=C(C(N8C(CCCCC)CCCCC)=O)C9=C7C(C6=C(C%10=CC%11=C%12C(C%13=C%14C=C%12C(N(C(CCCCC)CCCCC)C%11=O)=O)=C%10C%15=CC=C(C(N%16C(CCCCC)CCCCC)=O)C%17=C%15C%13=C([Se]%14)C=C%17C%16=O)C=C5C(N(C(CCCCC)CCCCC)C4=O)=O)=CC=C9C8=O)=C%18C(C2=C1C=C%19[Se]%20)=C%19C%21=C%20C=C(C(N%22C(CCCCC)CCCCC)=O)C%23=C%21C%18=CC=C%23C%22=O,8.82,8.55,17.15,0.668,0.77,2.08,2246.7,5.94,3.86
O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC(N3CCCCCCCC)=C4C5=C(C6=C(C7=C(C8=C9C(N%10CCCCCCCC)=CC%11=C8C(C(N(C(CCCCC)CCCCC)C%11=O)=O)=C7)C%12=C(C9=C%10C=C%13C(N(C(CCCCC)CCCCC)C%14=O)=O)C%13=C%14C=C%12)C=C(C(N(C(CCCCC)CCCCC)C%15=O)=O)C%16=C%15C=C3C4=C6%16)C=CC1=C52,5.29,5.29,11.69,0.44,1.03,2.22,1646.31,5.97,3.75
O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC(N3CCCCCCCC)=C4C5=C(C6=CC=C(C(N(C(CCCCC)CCCCC)C7=O)=O)C8=C7C=C3C4=C68)C(C9=C%10C(OCCO%10)=C(C%11=C(C%12=C%13C(N%14CCCCCCCC)=CC%15=C%12C(C(N(C(CCCCC)CCCCC)C%15=O)=O)=C%11)C%16=C(C%13=C%14C=C%17C(N(C(CCCCC)CCCCC)C%18=O)=O)C%17=C%18C=C%16)S9)=CC1=C52,1.6,1.6,5.25,0.27,1.13,2.06,1786.47,5.75,3.69
O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC(N3CCCCCCCC)=C4C5=C(C6=CC=C(C(N(C(CCCCC)CCCCC)C7=O)=O)C8=C7C=C3C4=C68)C(C9=CC=C(N(C%10=CC=C(C%11=CC%12=C%13C(C%14=C(N%15CCCCCCCC)C=C%13C(N(C(CCCCC)CCCCC)C%12=O)=O)=C%11C%16=CC=C(C(N(C(CCCCC)CCCCC)C%17=O)=O)C%18=C%17C=C%15C%14=C%16%18)C=C%10)C%19=CC=C(C%20=CC%21=C%22C(C%23=C%24C=C%22C(N(C(CCCCC)CCCCC)C%21=O)=O)=C%20C%25=CC=C(C(N(C(CCCCC)CCCCC)C%26=O)=O)C%27=C%26C=C(N%24CCCCCCCC)C%23=C%25%27)C=C%19)C=C9)=CC1=C52,4.54,4.54,9.92,0.42,1.09,1.8,2711.77,5.45,3.65
O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC3=C(C4=C5C=CC1C42)C6=C(C7=C3C8=CC9C%10C%11=C8C%12=C7C=C(C(N%13C(CCCCC)CCCCC)=O)C%14=C%12C(C%11=C(C%15=C%16C(C=C%17C(N(C(CCCCC)CCCCC)C%18=O)=O)=C%19C%20=C%17C%18=CC%21=C(C(C=C%22C(N(C(CCCC)CCCCC)C%23=O)=O)=C%24C%25=C%22C%23=CC=C%25C%26=CC=C(C%27=O)C%28C%26=C%24C%29=CC%28C(N%27C(CCCCC)CCCCC)=O)C%29=C%30C(C%31=C%19C%15=CC%32C%31C(C(N(C(CCCCC)CCCCC)C%32=O)=O)=C%30)=C%21%20)C=C%10C(N(C(CCCCC)CCCCC)C9=O)=O)=C%16C=C%14C%13=O)C=C%33C%34=C6C5=CC=C%34C(N(C(CCCCC)CCCCC)C%33=O)=O,8.3,8.1,15.2,0.68,0.8,2.35,2849.8,6.26,3.91
O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC3=C(C4=C5C=CC1C42)C6=C(C7=C3C8=CC9C%10C%11=C8C%12=C7C=C(C(N%13C(CCCCC)CCCCC)=O)C%14=C%12C(C%11=C(C%15=C%16C(C=C%17C(N(C(CCCCC)CCCCC)C%18=O)=O)=C%19C%20=C%17C%18=CC=C%20C%21=CC=C(C%22=O)C%23C%21=C%19C%15=CC%23C(N%22C(CCCCC)CCCCC)=O)C=C%10C(N(C(CCCCC)CCCCC)C9=O)=O)=C%16C=C%14C%13=O)C=C%24C%25=C6C5=CC=C%25C(N(C(CCCCC)CCCCC)C%24=O)=O,7.9,7.7,14.5,0.67,0.81,2.37,2142.87,6.23,3.86
O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC3=C(SC4=C5SC6=C4C(C7=CC=C(CCCCCC)C=C7)(C8=CC=C(CCCCCC)C=C8)C9=C6C=C%10C(C(S%11)=C(C(C%12=CC=C(CCCCCC)C=C%12)%10C%13=CC=C(CCCCCC)C=C%13)C%14=C%11C%15=C%16C=C%17C%18=C%19C%16=C(C(C=C%20C(N(C(CCCCC)CCCCC)C%21=O)=O)=C%15S%14)C(C%20=C%21C=C%22)=C%22C%19=CC=C%18C(N(C(CCCCC)CCCCC)C%17=O)=O)=C9)C5=C%23C=C%24C%25=C%26C%23=C3C(C2=C1C=C%27)=C%27C%26=CC=C%25C(N(C(CCCCC)CCCCC)C%24=O)=O,7.77,7.77,12.73,0.58,1.06,1.8,2409.41,5.55,3.75
O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C(C3=C4C(C5=CC6=C([C@H]7C(C=C(C8=C(C9=C%10C=C(C%11=O)C%12C9=C%13C=CC%12C(N%11C(CCCCC)CCCCC)=O)C(C%13=CC=C%14C(N(C(CCCCC)CCCCC)C%15=O)=O)=C%14C%15=C8)C%10=C%16)=C%16[C@@H]6C%17=C7C=C(C(C=C%18C(N(C(CCCCC)CCCCC)C%19=O)=O)=C%20C%21=C%18C%19=CC=C%21C%22=CC=C(C%23=O)C%24C%22=C%20C%25=CC%24C(N%23C(CCCCC)CCCCC)=O)C%25=C%17)C=C5%26)=CC1C32)C%27=CC=C%28C%29=C%27C4=C%26C=C%29C(N(C(CCCCC)CCCCC)C%28=O)=O,5.26,5.13,12.74,0.446,0.902,2.37,2345.13,6.1,3.73
O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C(C3=C4C(C5=CC6=C([C@H]7C(C=C(C8=C(C9=C%10C=C(C%11=O)C%12C9=C%13C=CC%12C(N%11C(CCCCC)CCCCC)=O)C(C%13=CC=C%14C(N(C(CCCCC)CCCCC)C%15=O)=O)=C%14C%15=C8)C%10=C%16)=C%16[C@@H]6C%17=C7C=CC=C%17)C=C5%18)=CC1C32)C%19=CC=C%20C%21=C%19C4=C%18C=C%21C(N(C(CCCCC)CCCCC)C%20=O)=O,6.15,6.04,12.8,0.492,0.96,2.36,1648.2,6.09,3.73
O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C(C3=C4C(C5=CC6=C([C@H]7C(C=CC=C8)=C8[C@@H]6C9=C7C=CC=C9)C=C5%10)=CC1C32)C%11=CC=C%12C%13=C%11C4=C%10C=C%13C(N(C(CCCCC)CCCCC)C%12=O)=O,2.31,2.28,7.03,0.313,1.033,2.34,951.26,6.05,3.71
O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C(C3=C4C5=CC1=C32)C6=C(C7=C(C8=CC=C(C(N(C(CCCCC)CCCCC)C9=O)=O)C%10=C9C=C%11C%12=C8%10)C(C%12=C(N%11CCCCCCCC)C=C%13C(N(C(CCCCC)CCCCC)C%14=O)=O)=C%13C%14=C7)C=C%15C%16=C6C4=C(N5CCCCCCCC)C=C%16C(N(C(CCCCC)CCCCC)C%15=O)=O,5.29,5.29,11.69,0.44,1.03,2.22,1646.31,5.97,3.75
O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C(C3=C4C5=CC1=C32)C6=C(C7=C(OCCO8)C8=C(C9=C(C%10=CC=C(C(N(C(CCCCC)CCCCC)C%11=O)=O)C%12=C%11C=C%13C%14=C%10%12)C(C%14=C(N%13CCCCCCCC)C=C%15C(N(C(CCCCC)CCCCC)C%16=O)=O)=C%15C%16=C9)S7)C=C%17C%18=C6C4=C(N5CCCCCCCC)C=C%18C(N(C(CCCCC)CCCCC)C%17=O)=O,1.6,1.6,5.25,0.27,1.13,2.06,1786.47,5.75,3.69
O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C(C3=C4C5=CC1=C32)C6=C(C7=CC=C(N(C8=CC=C(C9=C(C%10=CC=C(C(N(C(CCCCC)CCCCC)C%11=O)=O)C%12=C%11C=C%13C%14=C%10%12)C(C%14=C(N%13CCCCCCCC)C=C%15C(N(C(CCCCC)CCCCC)C%16=O)=O)=C%15C%16=C9)C=C8)C%17=CC=C(C%18=C(C%19=CC=C(C(N(C(CCCCC)CCCCC)C%20=O)=O)C%21=C%20C=C%22C%23=C%19%21)C(C%23=C(N%22CCCCCCCC)C=C%24C(N(C(CCCCC)CCCCC)C%25=O)=O)=C%24C%25=C%18)C=C%17)C=C7)C=C%26C%27=C6C4=C(N5CCCCCCCC)C=C%27C(N(C(CCCCC)CCCCC)C%26=O)=O,4.54,4.54,9.92,0.42,1.09,1.8,2711.77,5.45,3.65
O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C(C3=C4C5=CC1C32)C6=C(C7=CC=C(C8=C(C9=CC=C(C%10=CC%11C%12C%13=C%10C%14=CC=C(C(N%15C(CCCCC)CCCCC)=O)C%16=C%14C(C%13=C%17C=C%12C(N(C(CCCCC)CCCCC)C%11=O)=O)=C(OC%17(C)C)C=C%16C%15=O)C=C9)N=C(C%18=CC=C(C%19=CC%20C%21C%22=C%19C%23=CC=C(C(N%24C(CCCCC)CCCCC)=O)C%25=C%23C(C%22=C(C(C)(C)O%26)C=C%21C(N(C(CCCCC)CCCCC)C%20=O)=O)=C%26C=C%25C%24=O)C=C%18)C(C%27=CC=C(C%28=CC%29C%30C%31=C%28C%32=CC=C(C(N%33C(CCCCC)CCCCC)=O)C%34=C%32C(C%31=C%35C=C%30C(N(C(CCCCC)CCCCC)C%29=O)=O)=C(OC%35(C)C)C=C%34C%33=O)C=C%27)=N8)C=C7)C=C%36C%37=C6C4=C(C(C)(C)O5)C=C%37C(N(C(CCCCC)CCCCC)C%36=O)=O,4.51,4.29,8.45,0.49,1.03,1.96,3404.53,5.76,3.8
O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C(C3=C4C5=CC1C32)C6=C(C7=CC=C(C8=C(C9=CC=C(C%10=CC%11C%12C%13=C%10C%14=CC=C(C(N%15C(CCCCC)CCCCC)=O)C%16=C%14C(C%13=C([Se]%17)C=C%12C(N(C(CCCCC)CCCCC)C%11=O)=O)=C%17C=C%16C%15=O)C=C9)N=C(C%18=CC=C(C%19=CC%20C%21C%22=C%19C%23=CC=C(C(N%24C(CCCCC)CCCCC)=O)C%25=C%23C(C%22=C%26C=C%21C(N(C(CCCCC)CCCCC)C%20=O)=O)=C([Se]%26)C=C%25C%24=O)C=C%18)C(C%27=CC=C(C%28=CC%29C%30C%31=C%28C%32=CC=C(C(N%33C(CCCCC)CCCCC)=O)C%34=C%32C(C%31=C%35C=C%30C(N(C(CCCCC)CCCCC)C%29=O)=O)=C([Se]%35)C=C%34C%33=O)C=C%27)=N8)C=C7)C=C%36C%37=C6C4=C([Se]5)C=C%37C(N(C(CCCCC)CCCCC)C%36=O)=O,7.47,7.21,10.5,0.65,1.05,2.16,3488.1,5.9,3.74
O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=C(C(C=C6C(N(C(CCCCC)CCCCC)C7=O)=O)=C8C9=C6C7=CC=C9C%10=CC=C(C%11=O)C%12C%10=C8C=CC%12C(N%11C(CCCCC)CCCCC)=O)C=C%13C%14=C5C4=CC=C%14C(N(C(CCCCC)CCCCC)C%13=O)=O,4.39,4.39,8.26,0.611,0.87,2.08,1399.91,5.95,3.87
O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=C(C6=CC(C7=CC(C8=C(C9=C%10C=CC%11C9C(C(N(C(CCCCC)CCCCC)C%11=O)=O)=C8)C%12=CC=C%13C%14=C%12C%10=CC=C%14C(N(C(CCCCC)CCCCC)C%13=O)=O)=CC(C(C=C%15C(N(C(CCCCC)CCCCC)C%16=O)=O)=C%17C%18=C%15C%16=CC=C%18C%19=CC=C(C%20=O)C%21C%19=C%17C=CC%21C(N%20C(CCCCC)CCCCC)=O)=C7)=CC(C%22=C(C%23=CC=C(C%24=O)C%25C%23=C%26C=CC%25C(N%24C(CCCCC)CCCCC)=O)C(C%26=CC=C%27C(N(C(CCCCC)CCCCC)C%28=O)=O)=C%27C%28=C%22)=C6)C=C%29C%30=C5C4=CC=C%30C(N(C(CCCCC)CCCCC)C%29=O)=O,7.3,7.0,13.6,0.597,0.9,2.07,2956.05,5.84,3.77
O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=C(C6=CC7=C(C8C(C7(C9C%10C=CC=C9)C%11=C%10C=CC=C%11)C=C(C%12=C(C%13=C%14C=CC%15C%13C(C(N(C(CCCCC)CCCCC)C%15=O)=O)=C%12)C%16=CC=C%17C%18=C%16C%14=CC=C%18C(N(C(CCCCC)CCCCC)C%17=O)=O)C=C8)C=C6)C=C%19C%20=C5C4=CC=C%20C(N(C(CCCCC)CCCCC)C%19=O)=O,6.3,6.0,10.7,0.57,0.98,2.07,1718.33,5.9,3.83
O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=C(C6=CC=C(C7(CCCCC7)C8=CC=C(C(C=C9%10)=C%11C%12=CC=C%13C(N(C(C%14C=CC(C%15=CC=C(C%10=C%15%11)C(N(C9=O)C(CCCCC)CCCCC)=O)=C%12C%13%14)=O)C(CCCCC)CCCCC)=O)C=C8)C=C6)C=C%16C%17=C5C4=CC=C%17C(N(C(CCCCC)CCCCC)C%16=O)=O,2.14,2.14,6.04,0.398,0.89,2.07,1634.25,5.92,3.85
O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=CC(C6=CC=C(C7=CC=C(C(C=CC(C8=CC=C(C9=C(C(N%10C(CCCCC)CCCCC)=O)C%11=C(C%12=C9)C(C%13=CC=C(C%14=O)C%15C%13=C%12C=CC%15C(N%14C(CCCCC)CCCCC)=O)=CC=C%11C%10=O)S8)=C%16)=C%16C%17(CCCCCCCC)CCCCCCCC)C%17=C7)S6)=C%18C%19=C5C4=CC=C%19C(N(C(CCCCC)CCCCC)C%18=O)=O,2.22,2.14,6.81,0.39,0.84,1.9,1952.79,5.71,3.81
O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=CC(C6=CC=C(C7=CC=C(C8=C(C(N9C(CCCCC)CCCCC)=O)C%10=C(C%11=C8)C(C%12=CC=C(C%13=O)C%14C%12=C%11C=CC%14C(N%13C(CCCCC)CCCCC)=O)=CC=C%10C9=O)S7)S6)=C%15C%16=C5C4=CC=C%16C(N(C(CCCCC)CCCCC)C%15=O)=O,4.0,3.82,10.72,0.36,0.81,1.94,1564.15,5.73,3.79
O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=CC=C6C7=C5C4=CC=C7C(N(C(CCCCC)CCCCC)C6=O)=O,0.94,0.94,3.33,0.388,0.73,2.08,700.96,5.87,3.79
O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C3C4=C(C5=C(C6=C7SC(C6=C8C9=CC(Cl)=C(CC(CC)CCC)S9)=C(C%10=CC(Cl)=C(CC(CC)CCCC)S%10)C%11=C8SC%12=C%11C%13=CC(C(N(C%14=O)C(CCCCC)CCCCC)=O)=C%15C%14=CC=C%16C(C=C%17)=C%18C%19=C%17C(N(C(C%19=CC%12=C%18C%13=C%16%15)=O)C(CCCCC)CCCCC)=O)C=C(C(N(C(CCCCC)CCCCC)C%20=O)=O)C%21=C%20C=CC3=C5%21)C7=CC1=C42,6.63,6.46,9.89,0.59,1.14,2.38,2023.64,6.07,3.69
O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C3C4=C(C5=C(C6=C7SC(C6=C8C9=CC(Cl)=C(SCC(CC)CCC)S9)=C(C%10=CC(Cl)=C(SCC(CC)CCCC)S%10)C%11=C8SC%12=C%11C%13=CC(C(N(C%14=O)C(CCCCC)CCCCC)=O)=C%15C%14=CC=C%16C(C=C%17)=C%18C%19=C%17C(N(C(C%19=CC%12=C%18C%13=C%16%15)=O)C(CCCCC)CCCCC)=O)C=C(C(N(C(CCCCC)CCCCC)C%20=O)=O)C%21=C%20C=CC3=C5%21)C7=CC1=C42,5.82,5.49,9.75,0.54,1.1,2.23,2087.76,5.88,3.65
O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C3C4=C(C5=CC(C6=CC=C(C7=CC=C(C8=C9C=C(C%10=CC=C(C%11=CC(C%12=CC=C(C(N(C(CCCCC)CCCCC)C%13=O)=O)C%14=C%13C=CC%15=C%12%14)=C(C%15=CC=C%16C(N%17C(CCCCC)CCCCC)=O)C%16=C%11C%17=O)S%10)C=C8)C(C9(CCCCCCCC)CCCCCCCC)=C7)S6)=C(C(N(C(CCCCC)CCCCC)C%18=O)=O)C%19=C%18C=CC3=C5%19)C=CC1=C42,2.22,2.14,6.81,0.39,0.84,1.9,1948.76,5.71,3.81
O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C3C4=C(C5=CC(C6=CC=C(C7=CC=C(C8=CC(C9=CC=C(C(N(C(CCCCC)CCCCC)C%10=O)=O)C%11=C%10C=CC%12=C9%11)=C(C%12=CC=C%13C(N%14C(CCCCC)CCCCC)=O)C%13=C8C%14=O)S7)S6)=C(C(N(C(CCCCC)CCCCC)C%15=O)=O)C%16=C%15C=CC3=C5%16)C=CC1=C42,4.0,3.82,10.72,0.46,0.81,1.94,1560.12,5.73,3.79
O=C(N(C(CCCCC)CCCCC)C1=O)C2=CCC(C3=C4C5=CC1=C32)=C6C(C7=CC8=C9C%10=C7C%11=CC=C(C(N%12C(CCCCC)CCCCC)=O)C%13=C%11C(C%10=C%14C=C9C(N(C(CCCCC)CCCCC)C8=O)=O)=C(S%14)C=C%13C%12=O)C=C%15C%16=C6C4=C(S5)C=C%16C(N(C(CCCCC)CCCCC)C%15=O)=O,7.16,6.9,11.65,0.655,0.9,2.2,1457.98,6.05,3.85
O=C(N(C(CCCCC)CCCCC)C1=O)C2=CCC(C3=C4C=CC1=C32)=C5C(C(C=C6C(N(C(CCCCC)CCCCC)C7=O)=O)=C8C9=C6C7=CCC9=C%10C%11=C8C=CC%12=C%11C(C(N(C(CCCCC)CCCCC)C%12=O)=O)=CC%10)C=C%13C%14=C5C4=CC=C%14C(N(C(CCCCC)CCCCC)C%13=O)=O,6.41,6.41,13.12,0.6,0.79,2.06,1399.91,5.81,3.75
O=C(N(C(CCCCC)CCCCC)C1=O)C2=CCC(C3=C4C=CC1=C32)=C5CC=C6C7=C5C4=CC=C7C(N(C(CCCCC)CCCCC)C6=O)=O,2.48,2.35,4.88,0.602,0.8,2.28,700.96,6.08,3.8
O=C(N(C(CCCCCC)CCCCCC)C1=O)C2=CC(C(S3)=CC=C3C4=C(C5=CC=C(C6=CC7C8C9=C6C%10=CC=C(C(N%11C(CCCCCC)CCCCCC)=O)C%12=C%10C(C9=CC=C8C(N(C(CCCCCC)CCCCCC)C7=O)=O)=CC=C%12C%11=O)S5)C=C(C%13=CC=C(C(C=C%14C(N(C(CCCCCC)CCCCCC)C%15=O)=O)=C%16C%17=C%14C%15=CC=C%17C%18=CC=C(C%19=O)C%20C%18=C%16C=CC%20C(N%19C(CCCCCC)CCCCCC)=O)S%13)C(C%21=CC=C(C%22=CC%23C%24C%25=C%22C%26=CC=C(C(N%27C(CCCCCC)CCCCCC)=O)C%28=C%26C(C%25=CC=C%24C(N(C(CCCCCC)CCCCCC)C%23=O)=O)=CC=C%28C%27=O)S%21)=C4)=C(C%29=C%30C=CC1C%292)C%31=CC=C%32C%33=C%31C%30=CC=C%33C(N(C(CCCCCC)CCCCCC)C%32=O)=O,7.11,6.67,12.06,0.529,1.05,2.24,3426.82,5.92,3.68
O=C(N(C(CCCCCC)CCCCCC)C1=O)C2=CC(C3=C4C5=C(C6=C7C8=CC9=C6C(C(N(C(CCCCCC)CCCCCC)C9=O)=O)=C5)C%10=C(C7=C(C%11=C8C%12=C(C%13=C%14C=CC%15=C%13C(C(N(C(CCCCCC)CCCCCC)C%15=O)=O)=C%12)C%16=C(C%14=CC=C%17C(N(C(CCCCCC)CCCCCC)C%18=O)=O)C%17=C%18C=C%16%11)C=C%19C(N(C(CCCCCC)CCCCCC)C%20=O)=O)C%19=C%20C=C%103)=C%21C%22=C(C%23=C%24C=C(C(N(C(CCCCCC)CCCCCC)C%25=O)=O)C%26=C%25C=C4C%21=C%23%26)C(C%27=C%24C(C%28=CC%29=C%30C(C%31=C%32C=C%30C(N(C(CCCCCC)CCCCCC)C%29=O)=O)=C%28C%33=C%34C=C(C(N(C(CCCCCC)CCCCCC)C%35=O)=O)C%36=C%35C=C(C%37=C%32C%38=CC%39=C%40C(C%41=C%42C=C%40C(N(C(CCCCCC)CCCCCC)C%39=O)=O)=C%38C%43=C%37C=C(C(N(C(CCCCCC)CCCCCC)C%44=O)=O)C%45=C%44C=C(C%46=C%42C%47=CC%48=C%49C(C%50=CC=C%49C(N(C(CCCCCC)CCCCCC)C%48=O)=O)=C%47C%51=C%46C=C(C(N(C(CCCCCC)CCCCCC)C%52=O)=O)C%53=C%52C=CC%50=C%51%53)C%41=C%43%45)C%31=C%33%36)=C%34C%54=C%27C%55=C(C%56=C%57C(C%58=C%59C%60=CC%61=C%62C(C%63=C%64C=C%62C(N(C(CCCCCC)CCCCCC)C%61=O)=O)=C%60C%65=C%58C=C(C(N(C(CCCCCC)CCCCCC)C%66=O)=O)C%67=C%66C=C(C%68=C%64C%69=CC%70=C%71C(C%72=CC=C%71C(N(C(CCCCCC)CCCCCC)C%70=O)=O)=C%69C%73=C%68C=C(C(N(C(CCCCCC)CCCCCC)C%74=O)=O)C%75=C%74C=CC%72=C%73%75)C%63=C%65%67)=CC%76=C%56C(C(N(C(CCCCCC)CCCCCC)C%76=O)=O)=C%55)C%77=C(C%57=C%59C=C%78C(N(C(CCCCCC)CCCCCC)C%79=O)=O)C%78=C%79C=C%77%54)=CC1=C%222,7.93,7.69,16.4,0.619,0.759,1.97,6981.46,5.79,3.82
O=C(N(C(CCCCCC)CCCCCC)C1=O)C2=CC(C3=C4C5=C(C6=C7C8=CC9=C6C(C(N(C(CCCCCC)CCCCCC)C9=O)=O)=C5)C%10=C(C7=C(C%11=C8C%12=C(C%13=C%14C=CC%15=C%13C(C(N(C(CCCCCC)CCCCCC)C%15=O)=O)=C%12)C%16=C(C%14=CC=C%17C(N(C(CCCCCC)CCCCCC)C%18=O)=O)C%17=C%18C=C%16%11)C=C%19C(N(C(CCCCCC)CCCCCC)C%20=O)=O)C%19=C%20C=C%103)=C%21C%22=C(C%23=C(C%24=CC(C%25=C(C%26=C%27C(C%28=C%29C%30=CC%31=C%32C(C%33=C%34C=C%32C(N(C(CCCCCC)CCCCCC)C%31=O)=O)=C%30C%35=C%28C=C(C(N(C(CCCCCC)CCCCCC)C%36=O)=O)C%37=C%36C=C(C%38=C%34C%39=CC%40=C%41C(C%42=CC=C%41C(N(C(CCCCCC)CCCCCC)C%40=O)=O)=C%39C%43=C%38C=C(C(N(C(CCCCCC)CCCCCC)C%44=O)=O)C%45=C%44C=CC%42=C%43%45)C%33=C%35%37)=CC%46=C%26C(C(N(C(CCCCCC)CCCCCC)C%46=O)=O)=C%25)C%47=C(C%27=C%29C=C%48C(N(C(CCCCCC)CCCCCC)C%49=O)=O)C%48=C%49C=C%47)=CC(C%50=C(C%51=C%52C(C%53=C%54C%55=CC%56=C%57C(C%58=C%59C=C%57C(N(C(CCCCCC)CCCCCC)C%56=O)=O)=C%55C%60=C%53C=C(C(N(C(CCCCCC)CCCCCC)C%61=O)=O)C%62=C%61C=C(C%63=C%59C%64=CC%65=C%66C(C%67=CC=C%66C(N(C(CCCCCC)CCCCCC)C%65=O)=O)=C%64C%68=C%63C=C(C(N(C(CCCCCC)CCCCCC)C%69=O)=O)C%70=C%69C=CC%67=C%68%70)C%58=C%60%62)=CC%71=C%51C(C(N(C(CCCCCC)CCCCCC)C%71=O)=O)=C%50)C%72=C(C%52=C%54C=C%73C(N(C(CCCCCC)CCCCCC)C%74=O)=O)C%73=C%74C=C%72)=C%24)C=C(C(N(C(CCCCCC)CCCCCC)C%75=O)=O)C%76=C%75C=C4C%21=C%23%76)C=CC1=C%222,8.84,8.63,16.91,0.659,0.775,2.04,6987.51,5.85,3.81
